QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2017,BDS.2021,PIECE.2017,PIECE.2021,INTEG.2017,INTEG.2021,DECAYCLASS.2017,DECAYCLASSORIG,DECAYCLASS.2021,GC.2017,GC.2021,HEIGHT.2017,HEIGHT.2021,TOPDIAM.2017,TOPDIAM.2021,DBH,DBH.2017,DBH.2021,LENGTH.2017,LENGTH.2021,ANGLE,DIRECTION,NOTES.2017,NOTES.2021,,,,,LG.END.DIAM,SM.END.DIAM,LG.PX,LG.PY,SM.PX,SM.PY,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
123,10008,10008,FRPE,4.6,0.6,Snag,,A,,C,,1,1,,NA,,4.8,,NA,,23.1,23.1,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,14.6,20.6,438035.793,135615.097
123,10009,10009,FRPE,0.5,3.5,Snag,,A,,C,,1,1,,NA,,11,,NA,,28.3,27.6,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,10.5,23.5,438031.693,135617.997
126,10033,10033,FRPE,8.9,0.6,Snag,Snag,A,A,F,,2,1,3,NA,,7.4,,NA,,23.3,23.4,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,18.9,50.6,438040.093,135645.097
127,10069,10069,UNKN,4.9,6.3,Log,Log,A,A,F,,3,2,3,G,,NA,,NA,,62.2,NA,,12,,,,NA,,,,,,66.9,44.7,NA,NA,NA,NA,14.9,66.3,438036.093,135660.797
115,10135,10135,UNKN,10,6,Snag,,A,,F,,3,2,,NA,,18,,NA,,82.1,76.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,10,46,438031.193,135640.497
117,10178,10178,QUAL,0.5,7.8,Snag,Log,A,A,F,,2,1,4,NA,,8.6,,NA,12.6,20.9,20.5,19.8,NA,8,,,NA,,,,,,NA,NA,NA,NA,NA,NA,0.5,67.8,438021.693,135662.297
133,10213,10213,ACRU,7,7.2,Log,Log,A,A,F,,4,2,5,G,,NA,,NA,,30.1,NA,,5,,,,NA,,,,,,32.2,26.1,NA,NA,NA,NA,27,27.2,438048.193,135621.697
135,10219,10219,FRPE,7.4,2.2,Snag,Snag,A,A,C,,1,1,3,NA,,13.2,,NA,,35.9,36,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,27.4,42.2,438048.593,135636.697
135,10220,10220,UNKN,6.2,3.6,Snag,,A,,F,,4,2,,NA,,2,,NA,,19.5,16.5,,NA,,,,NA,Not found,,,,,NA,NA,NA,NA,NA,NA,26.2,43.6,438047.393,135638.097
122,10291,10291,FRPE,6.4,1.5,Snag,Snag,A,A,C,,1,1,2,NA,,11.6,,NA,,34.8,32.3,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,16.4,11.5,438037.593,135605.997
122,10292,10292,FRPE,9.2,1.1,Snag,Snag,A,A,C,,1,1,2,NA,,14.4,,NA,,36.8,36.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,19.2,11.1,438040.393,135605.597
122,10298,10298,TORA2,9.5,7.7,Snag,,A,,NA,,NA,NA,,NA,,NA,,NA,,11.4,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,19.5,17.7,438040.693,135612.197
141,10302,10302,UNKN,4.7,3.8,Snag,Snag,A,A,F,,4,2,4,NA,,6.2,,NA,,39,38.2,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,34.7,3.8,438055.893,135598.297
141,10304,10304,PITA,3.1,1.5,Snag,Snag,A,A,F,,4,2,3,NA,,16.6,,NA,,36.8,39.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,33.1,1.5,438054.293,135595.997
142,10312,10312,QURU,6.8,5.4,Snag,Log,A,A,F,,4,2,4,NA,,6.8,,NA,26.5,36.8,36,32,NA,6,,,NA,,,,,,NA,NA,NA,NA,NA,NA,36.8,15.4,438057.993,135609.897
143,10316,10316,FRPE,2.2,0.3,Snag,,A,,C,,1,1,,NA,,12,,NA,,25.9,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,32.2,20.3,438053.393,135614.797
143,10320,10320,FRPE,6.9,8.9,Snag,,A,,C,,1,1,,NA,,5.5,,NA,,12.3,12.6,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,36.9,28.9,438058.093,135623.397
144,10327,10327,ACRU,4.9,5,Stump,,NA,,NA,,NA,NA,,NA,,NA,,NA,,14.2,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,34.9,35,438056.093,135629.497
146,10347,10347,FRPE,5.7,9.9,Snag,,A,,NA,,NA,NA,,NA,,NA,,NA,,17.5,19.5,,NA,,,,NA,Not dead,,,,,NA,NA,NA,NA,NA,NA,35.7,59.9,438056.893,135654.397
